Bump	Bumped	JohnJenner	HeadOfRiver	Bumped	Crews	Overall	MensCrews	Club	Crew	Crews	Day	Bump	HeadOfRiver	JohnJenner	LadiesCrews	Mens/Ladies	LadiesCrews	MensCrews	Number of Records	Overall	Position	Total Crews	Up/Down	Updated	Year
0	1	-4	0	1	1	-1		Champs	Champs 5	1	Tues	0	0	-1	1	Women			1	-1	25	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 6	1	Tues	0	0	-1	1	Women			1	-1	34	49	-1	Y	2016
1	0	4	0	0	1	1		Champs	Champs 7	1	Tues	1	0	1	1	Women			1	1	44	49	1	Y	2016
1	0	4	0	0	1	1		Chesterton	Chesterton	1	Tues	1	0	1	1	Women			1	1	10	49	1	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 2	1	Tues	0	0	0	1	Women			1	0	36	49	0	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 3	1	Tues	0	0	0	1	Women			1	0	40	49	0	Y	2016
0	0	4		0	1	1		City	City	1	Tues	1	1	0	1	Women			1	1	1	49	1	Y	2016
0	0	0	0	0	1	0		City	City 2	1	Tues	0	0	0	1	Women			1	0	4	49	0	Y	2016
0	1	-4	0	1	1	-1		City	City 3	1	Tues	0	0	-1	1	Women			1	-1	9	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 4	1	Tues	0	0	-1	1	Women			1	-1	12	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 5	1	Tues	0	0	-1	1	Women			1	-1	20	49	-1	Y	2016
1	0	4	0	0	1	1		City	City 6	1	Tues	1	0	1	1	Women			1	1	21	49	1	Y	2016
1	0	4	0	0	1	1		City	City 7	1	Tues	1	0	1	1	Women			1	1	26	49	1	Y	2016
0	0	0	0	0	1	0		City	City 8	1	Tues	0	0	0	1	Women			1	0	37	49	0	Y	2016
0	1	-4	0	1	1	-1		Isle of Ely	Isle of Ely	1	Tues	0	0	-1	1	Women			1	-1	27	49	-1	Y	2016
0	0	0	0	0	1	0		Radegund	Radegund	1	Tues	0	0	0	1	Women			1	0	19	49	0	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund 2	1	Tues	1	0	1	1	Women			1	1	39	49	1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy	1	Tues	0	0	-1	1	Women			1	-1	5	49	-1	Y	2016
